FechaProgramacion,Fabrica,Seccion,Linea,Equipo,TiempoPNP
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO ESTERILIZADOR,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,PALETIZADOR WALLON,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ETIQUETADORA,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ESPIRAL INGRESO ETIQUETADORA,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,EMBALADORA NON SHOCK,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA PALETIZADOR WALLON,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA ENFRIADOR,115
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,DETECTOR RAYOS X INSCAN100,115
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE CAJAS MARSH,115
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA EMBALADORA,46
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO EMBAL-ETIQ,46
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES LLENADORA,46
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES ENFRIADOR,46
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,ENGOMADORA - PRENSA,46
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,ENFRIADOR,46
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA CERRADORA,46
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR PALETAS,46
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,BBA DE RECUPERO LLENADORA,46
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,VAC TRAC ENFRIADOR,15
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA EMBALADORA,15
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES LLENADORA,15
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES ENFRIADOR,15
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,ENGOMADORA - PRENSA,15
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,ENFRIADOR,15
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA CERRADORA,15
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR PALETAS,15
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,BBA DE RECUPERO LLENADORA,15
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA ENFRIADOR,46
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENT CAJAS A PALETIZ,46
